Iterator T GF Best_GF
1000 9.05698 24765 24765
1001 9.04792 24765 24765
1002 9.04792 24765 24765
1003 9.04792 24765 24765
1004 9.04792 24765 24765
1005 9.04792 24765 24765
1006 9.04792 24765 24765
1007 9.04792 24765 24765
1008 9.04792 24765 24765
1009 9.04792 24765 24765
1010 9.04792 24765 24765
1011 9.03887 24765 24765
1012 9.03887 24765 24765
1013 9.03887 24765 24765
1014 9.03887 24765 24765
1015 9.03887 24765 24765
1016 9.03887 24765 24765
1017 9.03887 24765 24765
1018 9.03887 24765 24765
1019 9.03887 24765 24765
1020 9.03887 24765 24765
1021 9.02983 24765 24765
1022 9.02983 24765 24765
1023 9.02983 24765 24765
1024 9.02983 24765 24765
1025 9.02983 24765 24765
1026 9.02983 24765 24765
1027 9.02983 24765 24765
1028 9.02983 24765 24765
1029 9.02983 24765 24765
1030 9.02983 24765 24765
1031 9.0208 24765 24765
1032 9.0208 24765 24765
1033 9.0208 24765 24765
1034 9.0208 24765 24765
1035 9.0208 24765 24765
1036 9.0208 24765 24765
1037 9.0208 24765 24765
1038 9.0208 24765 24765
1039 9.0208 24765 24765
1040 9.0208 24765 24765
1041 9.01178 24765 24765
1042 9.01178 24765 24765
1043 9.01178 24765 24765
1044 9.01178 24765 24765
1045 9.01178 24765 24765
1046 9.01178 24765 24765
1047 9.01178 24765 24765
1048 9.01178 24765 24765
1049 9.01178 24765 24765
1050 9.01178 24765 24765
1051 9.00277 24765 24765
1052 9.00277 24765 24765
1053 9.00277 24765 24765
1054 9.00277 24765 24765
1055 9.00277 24765 24765
1056 9.00277 24765 24765
1057 9.00277 24765 24765
1058 9.00277 24765 24765
1059 9.00277 24765 24765
1060 9.00277 24765 24765
1061 8.99377 24765 24765
1062 8.99377 24765 24765
1063 8.99377 24765 24765
1064 8.99377 24765 24765
1065 8.99377 24765 24765
1066 8.99377 24765 24765
1067 8.99377 24765 24765
1068 8.99377 24765 24765
